id,name,parent_id/id
cwa_cbl_cat.1020000,kruidenierswaren  (semi-) vers,cwa_cbl_cat.1000000
cwa_cbl_cat.1022000,rijst en deegwaren semi sers,cwa_cbl_cat.1020000
cwa_cbl_cat.1022010,deegwaren semi vers,cwa_cbl_cat.1022000
cwa_cbl_cat.1026500,"zoutjes, onderleggers, notenbarproducten SV",cwa_cbl_cat.1022010
cwa_cbl_cat.1026525,notenbarproducten SV,cwa_cbl_cat.1026500
cwa_cbl_cat.1028000,niet-alcoholhoudende dranken SV,cwa_cbl_cat.1026525
cwa_cbl_cat.1028020,vruchtensappen en -dranken / groentesappen SV,cwa_cbl_cat.1028000
cwa_cbl_cat.1022005,rijst semi vers,cwa_cbl_cat.1022000
cwa_cbl_cat.2400000,lectuur,
cwa_cbl_cat.2410000,houdbare lectuur,cwa_cbl_cat.2400000
cwa_cbl_cat.2410500,dagbladen,cwa_cbl_cat.2410000
cwa_cbl_cat.2410505,dagbladen,cwa_cbl_cat.2410500
cwa_cbl_cat.2411000,"tijdschriften, opiniebladen",cwa_cbl_cat.2410505
cwa_cbl_cat.2411040,eenmalige uitgaven,cwa_cbl_cat.2411000
cwa_cbl_cat.2411500,"boeken, pockets",cwa_cbl_cat.2411040
cwa_cbl_cat.2411505,"boeken, pockets",cwa_cbl_cat.2411500
cwa_cbl_cat.2411015,familie- roddelbladen,cwa_cbl_cat.2411000
cwa_cbl_cat.2411010,mannenbladen,cwa_cbl_cat.2411000
cwa_cbl_cat.2411035,opinieweekbladen,cwa_cbl_cat.2411000
cwa_cbl_cat.2411030,puzzelbladen,cwa_cbl_cat.2411000
cwa_cbl_cat.2411020,rtv-bladen,cwa_cbl_cat.2411000
cwa_cbl_cat.2411025,speciale interestbladen,cwa_cbl_cat.2411000
cwa_cbl_cat.2411005,vrouwenbladen,cwa_cbl_cat.2411000
cwa_cbl_cat.1800000,maaltijden,
cwa_cbl_cat.1830000,diepvries maaltijden,cwa_cbl_cat.1800000
cwa_cbl_cat.1830500,diepvries maaltijden,cwa_cbl_cat.1830000
