id,name
1911500,overig voer
1911505,vogelvoer
1911510,knaagdiervoer
1911515,visvoer
1920000,vers dierenvoer
1920500,vers dierenvoer
1920505,orgaanvlees vers
1930000,diepvries dierenvoer
1930500,diepvries dierenvoer
1930505,"orgaanvlees, diepvries"
2000000,rookwaren
2010000,houdbare rookwaren
2010500,tabaksproducten
2010505,sigaretten
2010510,sigaren
2010515,shag
2010520,pijptabak
2011000,hulpmiddelen
2011005,vloei
2011010,hulzen/filters
2011015,aanstekers
2100000,drogmetica
2110000,houdbare drogmetica
2110500,"lichaamsverzorging, medische verzorging"
2110505,"toiletzeep, badzeep, doucheschuim"
2110510,verzorgende cosmetica
2110511,deodorants
2110512,dames en herengeuren
2110513,ontharingsproducten
2110515,decoratieve cosmetica en toebehoren
2110520,shampoo
2110525,overige haarverzorgings producten
2110530,mondverzorging
2110535,babyverzorging
2110540,scheerproducten en toebehoren
2110545,"wondartikelen, inhaler"
2110550,condooms
2111000,periodeverzorging en luiers
2111005,"damesverband, inlegkruisjes, tampons"
2111010,weggooiluiers
2111015,incontinentieproducten
2111500,sanitaire papierwaren
2111505,(vochtig) wc-papier
2111510,keukenrollen
2112000,zakdoekjes
2112005,"papieren zakdoekjes, tissues"
2200000,schoonmaak en onderhoudsartikelen
2210000,houdbare schoonmaak en onderhoudsartikelen
2210500,was- en reinigingsmiddelen
2210505,witwasmiddelen
2210510,"bont-, wol-, fijn-, en handwasmiddelen"
2210515,voorwasmiddelen
2210520,wasverzachters
2210525,overig wasmiddelen
2210530,afwas-/vaatwasmiddelen
2210535,"generieke reinigers, schuurmiddel"
2210540,specialistische reinigers
2210545,toiletreinigers
2210550,luchtverfrissers
2211000,poetsmiddelen
2211005,meubelreiniging/onderhoudsmiddelen
2211010,"zilverpoets, koperpoets"
2211015,vloerreiniging/onderhoud
2211020,schoenpoetsmiddelen
2300000,kantoorbenodigdheden en wenskaarten
2310500,kantoorbenodigdheden
2310505,schrijfwaren
2310510,bureau accessoires
2310520,"schrijfblokken, multo-papier, schriften"
2310525,enveloppen
2310530,"kadopapier, feestartikelen, decoraties"
2311000,wenskaarten
2311005,wenskaarten
2400000,lectuur
2410000,houdbare lectuur
2410500,dagbladen
2410505,dagbladen
2411000,"tijdschriften, opiniebladen"
2411005,vrouwenbladen
2411010,mannenbladen
2411015,familie- roddelbladen
2411020,rtv-bladen
2411025,speciale interestbladen
2411030,puzzelbladen
2411035,opinieweekbladen
2411040,eenmalige uitgaven
2411500,"boeken, pockets"
2411505,"boeken, pockets"
2500000,huishoudelijke artikelen
2510000,houdbare huishoudelijke artikelen
2511000,huishoudelijke waren en onderhoudsmateriaal
2511005,"vuilniszakken, pedaalemmerzakken"
2511010,huishoudfolie
2511015,"boterhamzakjes, diepvrieszakjes"
2511020,"wasemkapfilters, stofzuigerzakken"
2511025,koffiefilters
2511030,wegwerpartikelen
2511035,onderhoudsmaterialen / borstelwerk
2511040,insectenverdelgers
2512000,babyartikelen
2512005,"zuigflessen, spenen"
2512500,panty's/nylons
2512505,panty's/nylons
2513000,sfeer en verlichting
2513005,gloeilampen
2513010,batterijen
2513015,"kaarsen, waxinelichtjes"
2513020,"aanmaakblokjes, houtskool"
2513025,lucifers
2600000,bloemen en planten
2610000,houdbaar bloemen en planten
2610500,bloemen- en plantverzorging
2610505,bloemen- en plantvoeding en verzorging
2610520,potgrond
2620000,bloemen en planten vers
2620500,verse bloemen en planten
2620505,snijbloemen
2620510,(kamer)planten
2620515,seizoensartikelen
2700000,dierenbenodigdheden
2710000,houdbare dierenbenodigdheden
2710500,dierenbenodigdheden
2710505,dierenbenodigdheden
2710510,kattenbakvulling
2710515,schelpenzand
2710520,"hooi, stro"
2800000,overig assortiment
2810000,houdbaar overig assortiment
2810500,winkelartikelen
2810505,boodschappentassen
2810510,folders en brochures
2810515,waardebonnen
2810520,emballage
2811000,textiel
2811005,"kousen, sokken"
2811010,huishoudtextiel
2811015,ondergoed
2811020,overige textiel
2811025,schoeisel
2811500,"foto, audio, video"
2811505,foto materialen
2811510,"beelddragers, geluiddragers"
2811515,fotoalbums
2812500,diensten en services
2812505,kledingservices
2812510,schoenreparatie
2812515,boodschappenbezorgservice
2812520,PTT-post service
2812525,foto-ontwikkel en afdruk services
2812530,kopieer- en faxservice
2812535,overige services
2813000,overig huishoudelijk assortiment
2813005,klein huishoudelijk plastic
2813010,groothuishoudelijk plastic
2813015,"potten, pannen, bakvormen"
2813020,keukenhulpjes
2813025,"glas, porcelein, aardewerk"
2815000,voedingsgebonden OTC
2815005,afslankproducten
2815010,"vitaminen, mineralen, voedingssupplementen"
2815500,"artikelen tegen aandoeningen,  preparaten"
2815505,pijnstillende middelen
2815510,verkoudheidspreparaten
2815515,"hoestpreparaten, keelpreparaten"
2815520,grieppreparaten
2815525,spijsverteringspreparaten
2815530,oogverzorging
2815531,oorverzorging
2815535,"blaaspreparaten, geslachtpreparaten"
2815540,bloedsomloop preparaten
2815550,huidverzorging
2815555,"spierverzorging, gewrichtsverzorging"
2816000,gedragsbeinvloedende artikelen
2816005,"kalmerend, rustgevend"
2816010,middelen tegen reisziekte
2816015,overige habituele aandoeningen
2816500,"testen, diagnostische producten, meetapparatuur"
2816505,zwangerschapstesten
2816507,ovulatietest
2816508,thermometers
2816510,overige diagnostische testen
2819500,overig assortiment
2819505,bijoux
2819510,"fiets, auto"
2819515,gereedschappen
2819525,haardblokken
2819535,doe het zelf
2819540,verf en accessoires
2819545,"schoenonderhoudsartikelen, veters"
2819550,speelgoed
2819555,tuinartikelen
2819560,kookboeken
2819565,decoratie non food
2819570,"tassen, koffers"
2819575,apparaten elektrisch / elektronisch
2819580,camping
2819585,naaigaren en naaigerei
2819590,optiek
2819599,overige assortiment
2900000,sterk alcoholische dranken
2910000,houdbare sterk alcoholische dranken
2910500,sterk alcoholische dranken
2910505,jenever
2910510,vieux
2910515,brandewijn
2910520,Berenburg
2910525,likeuren
2910530,whisky
2910535,cognac
2910540,rum
2910545,gin
2910550,wodka
2910555,creamdranken
2910560,anijsdranken
2910565,overige specialiteiten
4000000,winkelmateriaal
4000005,schuimschalen
4000010,papieren zakken
4000015,plastic zakken
4000020,folie zakken
4000025,gecombineerde zakken
4100000,stylingmateriaal
4100030,kaarten
4100035,kleding
4100040,vlaggenstokken
4100045,overig styling materiaal
4200000,"kassabenodigdheden, prijsbenodigdheden"
4200005,etiketten
4200010,bonrollen
4200015,toner
4200020,inktlinten
4200025,diverse
4300000,schoon- en hygieneartikelen
4300005,rolhouder
4300010,handdoekendispenser
4300015,diverse
